DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO                        CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       h2o_reported              b_h2o_pct                 peak_14                   peak84_raw                
2021-09-10                12:14:40.924              252.63519588              6063.244701               253.63519588              1631276080.924            0                         963                       1.4000163330E+02          4.5000297546E+01          3.7015000000E+01          4.4767875671E+01          4.5000236511E+01          3.0000000000E+00          6.0000000000E+00          3.6472842031E+04          0.0000000000E+00          1.5975800393E-01          4.4992328117E+02          4.4991808104E+02          2.1049895587E+00          2.1049696494E+00          -1.0073028097E-03         -1.3048393764E-03         6.0045353592E-03          6.3813190267E+02          3.7596360250E-01          
2021-09-10                12:14:41.161              252.63519863              6063.244767               253.63519863              1631276081.162            0                         963                       1.3999926758E+02          4.5000297546E+01          3.7062500000E+01          4.4767875671E+01          4.5000236511E+01          1.0000000000E+00          6.0000000000E+00          3.6472304688E+04          0.0000000000E+00          1.5975800194E-01          4.4992841944E+02          4.4991808104E+02          2.1049895587E+00          2.1049696494E+00          -1.0073028097E-03         -1.3048393764E-03         6.0045353592E-03          6.3812491436E+02          3.7596360250E-01          
2021-09-10                12:14:41.575              252.63520341              6063.244882               253.63520341              1631276081.575            0                         963                       1.4000076145E+02          4.5000297546E+01          3.7018793706E+01          4.4767875671E+01          4.5000236511E+01          2.0000000000E+00          6.0000000000E+00          3.6472987598E+04          0.0000000000E+00          1.5975800194E-01          4.4992841944E+02          4.4992321926E+02          2.1050465940E+00          2.1049696494E+00          -1.0073028097E-03         -1.3048393764E-03         6.0045353592E-03          6.3812491436E+02          3.7596360250E-01          
2021-09-10                12:14:42.461              252.63521368              6063.245128               253.63521368              1631276082.462            0                         963                       1.4000076145E+02          4.5000297546E+01          3.7017184035E+01          4.4767875671E+01          4.5000236511E+01          4.0000000000E+00          6.0000000000E+00          3.6472987598E+04          0.0000000000E+00          1.6051921527E-01          4.4992841944E+02          4.4992321926E+02          2.1050465940E+00          2.1049696494E+00          -1.0073028097E-03         -1.3048393764E-03         1.2006288708E-02          6.3812491436E+02          3.7789945965E-01          
2021-09-10                12:14:43.157              252.63522174              6063.245322               253.63522174              1631276083.158            0                         963                       1.4000576782E+02          4.5000297546E+01          3.7062500000E+01          4.4767875671E+01          4.5000236511E+01          3.0000000000E+00          6.0000000000E+00          3.6475734375E+04          0.0000000000E+00          1.6051921527E-01          4.4992841944E+02          4.4992361202E+02          2.1050465940E+00          2.1050281880E+00          -3.6748741084E-04         -4.7602568389E-04         1.2006288708E-02          6.3812491436E+02          3.7789945965E-01          
2021-09-10                12:14:43.410              252.63522465              6063.245392               253.63522465              1631276083.410            0                         963                       1.4000162745E+02          4.5000297546E+01          3.7020522388E+01          4.4767875671E+01          4.5000236511E+01          1.0000000000E+00          6.0000000000E+00          3.6474944671E+04          0.0000000000E+00          1.6051920839E-01          4.4992108166E+02          4.4992361202E+02          2.1050465940E+00          2.1050281880E+00          -3.6748741084E-04         -4.7602568389E-04         1.2006288708E-02          6.3810164562E+02          3.7789945965E-01          
2021-09-10                12:14:43.822              252.63522943              6063.245506               253.63522943              1631276083.823            0                         963                       1.3999987003E+02          4.5000297546E+01          3.7021853147E+01          4.4767875671E+01          4.5000236511E+01          2.0000000000E+00          6.0000000000E+00          3.6474667859E+04          0.0000000000E+00          1.6051920839E-01          4.4992108166E+02          4.4991627432E+02          2.1051322992E+00          2.1050281880E+00          -3.6748741084E-04         -4.7602568389E-04         1.2006288708E-02          6.3810164562E+02          3.7789945965E-01          
2021-09-10                12:14:44.703              252.63523962              6063.245751               253.63523962              1631276084.703            0                         963                       1.3999987003E+02          4.5000297546E+01          3.7062500000E+01          4.4767875671E+01          4.5000236511E+01          4.0000000000E+00          6.0000000000E+00          3.6474667859E+04          0.0000000000E+00          1.5227445285E-01          4.4992108166E+02          4.4991627432E+02          2.1051322992E+00          2.1050281880E+00          -3.6748741084E-04         -4.7602568389E-04         7.0030310221E-03          6.3810164562E+02          3.5848155220E-01          
2021-09-10                12:14:45.420              252.63524792              6063.245950               253.63524792              1631276085.420            0                         963                       1.4000030518E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          3.0000000000E+00          6.0000000000E+00          3.6475375000E+04          0.0000000000E+00          1.5227445285E-01          4.4992108166E+02          4.4991670504E+02          2.1051322992E+00          2.1051155416E+00          -8.8412735196E-04         -1.1452758032E-03         7.0030310221E-03          6.3810164562E+02          3.5848155220E-01          
2021-09-10                12:14:45.654              252.63525064              6063.246015               253.63525064              1631276085.655            0                         963                       1.4000139151E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          1.0000000000E+00          6.0000000000E+00          3.6475996094E+04          0.0000000000E+00          1.5227446852E-01          4.4993366623E+02          4.4991670504E+02          2.1051322992E+00          2.1051155416E+00          -8.8412735196E-04         -1.1452758032E-03         7.0030310221E-03          6.3815630768E+02          3.5848155220E-01          
