DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync
2022-02-03                13:54:55.000              33.70480324               808.915278                34.70480324               1643896495.000            0                         963                       1.4000411987E+02          4.4999992371E+01          4.1625000000E+01          4.4770713806E+01          4.4998435974E+01          7.0000000000E+00          4.0285953125E+04          1.5959204553E-01          4.4935158887E+02          4.4936049677E+02          2.1049920641E+00          2.1049440036E+00          6.4492272448E-04
2022-02-03                13:55:00.000              33.70486111               808.916667                34.70486111               1643896500.000            0                         963                       1.3999850464E+02          4.5000053406E+01          4.1625000000E+01          4.4770866394E+01          4.4998161316E+01          7.0000000000E+00          4.0285222656E+04          1.5824637300E-01          4.4936721448E+02          4.4937250992E+02          2.1049056002E+00          2.1049394641E+00          7.6664594314E-04
2022-02-03                13:55:05.000              33.70491898               808.918056                34.70491898               1643896505.000            0                         963                       1.3999996948E+02          4.4999992371E+01          4.1625000000E+01          4.4770683289E+01          4.4998558044E+01          7.0000000000E+00          4.0288398438E+04          1.5353184248E-01          4.4935491468E+02          4.4936865005E+02          2.1049016245E+00          2.1049112763E+00          1.0105855132E-03
2022-02-03                13:55:10.000              33.70497685               808.919444                34.70497685               1643896510.000            0                         963                       1.3999730352E+02          4.4999893075E+01          4.1687500000E+01          4.4770708113E+01          4.4998483572E+01          7.0000000000E+00          4.0281531979E+04          1.5828405625E-01          4.4940443931E+02          4.4940611333E+02          2.1049038143E+00          2.1049564909E+00          6.6491696857E-04
2022-02-03                13:55:15.000              33.70503472               808.920833                34.70503472               1643896515.000            0                         963                       1.4000051880E+02          4.5000053406E+01          4.1687500000E+01          4.4770713806E+01          4.4998435974E+01          7.0000000000E+00          4.0279058594E+04          1.5931784586E-01          4.4941589144E+02          4.4942128441E+02          2.1047003907E+00          2.1047885217E+00          8.9960507206E-04
2022-02-03                13:55:20.000              33.70509259               808.922222                34.70509259               1643896520.000            0                         963                       1.4000445557E+02          4.5000053406E+01          4.1687500000E+01          4.4770713806E+01          4.4998435974E+01          7.0000000000E+00          4.0280527344E+04          1.5483459168E-01          4.4939989022E+02          4.4940736422E+02          2.1047883118E+00          2.1049040888E+00          9.9984804614E-04
2022-02-03                13:55:25.000              33.70515046               808.923611                34.70515046               1643896525.000            0                         963                       1.4000093260E+02          4.4999992371E+01          4.1659527972E+01          4.4770683289E+01          4.4998527527E+01          7.0000000000E+00          4.0280206130E+04          1.6200145130E-01          4.4938054618E+02          4.4938556687E+02          2.1047907493E+00          2.1048222067E+00          1.8847960458E-04
2022-02-03                13:55:30.000              33.70520833               808.925000                34.70520833               1643896530.000            0                         963                       1.4000191259E+02          4.4999987816E+01          4.1687500000E+01          4.4770755711E+01          4.4998492454E+01          7.0000000000E+00          4.0277365555E+04          1.6529757582E-01          4.4939290045E+02          4.4941017445E+02          2.1049610814E+00          2.1050036146E+00          1.6451618121E-04
2022-02-03                13:55:35.000              33.70526620               808.926389                34.70526620               1643896535.000            0                         963                       1.4000110973E+02          4.5000048924E+01          4.1687500000E+01          4.4770632070E+01          4.4998544600E+01          7.0000000000E+00          4.0278066488E+04          1.6126691945E-01          4.4939914075E+02          4.4940736296E+02          2.1048282039E+00          2.1048760611E+00          3.8609453458E-04
2022-02-03                13:55:40.000              33.70532407               808.927778                34.70532407               1643896540.000            0                         963                       1.4000614428E+02          4.5000022888E+01          4.1687500000E+01          4.4770866394E+01          4.4998466492E+01          7.0000000000E+00          4.0279943127E+04          1.6048751222E-01          4.4940822862E+02          4.4941311308E+02          2.1049121311E+00          2.1048515931E+00          7.1152179409E-04
