DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync
2022-02-03                12:54:40.000              33.66296296               807.911111                34.66296296               1643892880.000            0                         963                       1.3999725342E+02          4.5000053406E+01          4.1937500000E+01          4.4772789001E+01          4.5000236511E+01          0.0000000000E+00          3.3169285156E+04          3.3455715800E-01          4.4501485864E+02          4.4652903318E+02          2.1272585088E+00          2.1332649526E+00          2.1875519825E-01
2022-02-03                12:54:45.000              33.66302083               807.912500                34.66302083               1643892885.000            0                         963                       1.4000004716E+02          4.5000053406E+01          4.1937500000E+01          4.4772789001E+01          4.5000236511E+01          0.0000000000E+00          3.3169333097E+04          3.3996857051E-01          4.4500042127E+02          4.4651350011E+02          2.1273156108E+00          2.1332485235E+00          2.1821970180E-01
2022-02-03                12:54:50.000              33.66307870               807.913889                34.66307870               1643892890.000            0                         963                       1.4000324489E+02          4.5000205994E+01          4.1937500000E+01          4.4772483826E+01          4.5000236511E+01          0.0000000000E+00          3.3173005054E+04          3.2973907130E-01          4.4502378481E+02          4.4653646237E+02          2.1273650380E+00          2.1332282280E+00          2.1793852128E-01
2022-02-03                12:54:55.000              33.66313657               807.915278                34.66313657               1643892895.000            0                         963                       1.3999713135E+02          4.4999961853E+01          4.1875000000E+01          4.4772636414E+01          4.5000144958E+01          0.0000000000E+00          3.3172089844E+04          3.3522830174E-01          4.4502743473E+02          4.4654955610E+02          2.1274250506E+00          2.1333459670E+00          2.1812724783E-01
2022-02-03                12:55:00.000              33.66319444               807.916667                34.66319444               1643892900.000            0                         963                       1.4000030518E+02          4.4999961853E+01          4.1937500000E+01          4.4772697449E+01          4.5000236511E+01          0.0000000000E+00          3.3173066406E+04          3.3639301071E-01          4.4504715910E+02          4.4656277276E+02          2.1273956632E+00          2.1332245957E+00          2.1859538978E-01
2022-02-03                12:55:05.000              33.66325231               807.918056                34.66325231               1643892905.000            0                         963                       1.4000396729E+02          4.4999961853E+01          4.1937500000E+01          4.4772697449E+01          4.5000236511E+01          0.0000000000E+00          3.3175167969E+04          3.3567857606E-01          4.4503837292E+02          4.4655483008E+02          2.1275031451E+00          2.1332969349E+00          2.1858614668E-01
2022-02-03                12:55:10.000              33.66331019               807.919444                34.66331019               1643892910.000            0                         963                       1.4000044432E+02          4.4999900818E+01          4.1937500000E+01          4.4772605896E+01          4.5000297546E+01          0.0000000000E+00          3.3175101617E+04          3.3128326422E-01          4.4502945894E+02          4.4654161251E+02          2.1270665443E+00          2.1330380321E+00          2.1808287897E-01
2022-02-03                12:55:15.000              33.66336806               807.920833                34.66336806               1643892915.000            0                         963                       1.3999697876E+02          4.5000053406E+01          4.1937500000E+01          4.4772758484E+01          4.5000419617E+01          0.0000000000E+00          3.3173738281E+04          3.3466216165E-01          4.4499113870E+02          4.4650670683E+02          2.1269817514E+00          2.1329117073E+00          2.1857628720E-01
2022-02-03                12:55:20.000              33.66342593               807.922222                34.66342593               1643892920.000            0                         963                       1.4000028331E+02          4.5000068892E+01          4.1937500000E+01          4.4772626848E+01          4.5000221025E+01          0.0000000000E+00          3.3174859725E+04          3.3265900964E-01          4.4495866871E+02          4.4649410601E+02          2.1266112722E+00          2.1325442215E+00          2.1848799544E-01
2022-02-03                12:55:25.000              33.66348380               807.923611                34.66348380               1643892925.000            0                         963                       1.3999882923E+02          4.5000136636E+01          4.1937500000E+01          4.4772630865E+01          4.5000078375E+01          0.0000000000E+00          3.3173873935E+04          3.3874658373E-01          4.4491999217E+02          4.4643441836E+02          2.1264601182E+00          2.1322958543E+00          2.1865119885E-01
2022-02-03                12:55:30.000              33.66354167               807.925000                34.66354167               1643892930.000            0                         963                       1.4000149536E+02          4.5000114441E+01          4.1937500000E+01          4.4772636414E+01          4.5000083923E+01          0.0000000000E+00          3.3174726562E+04          3.2938064549E-01          4.4489231656E+02          4.4640687259E+02          2.1260475324E+00          2.1321153465E+00          2.1835868823E-01
2022-02-03                12:55:35.000              33.66359954               807.926389                34.66359954               1643892935.000            0                         963                       1.3999831833E+02          4.5000144958E+01          4.1934440559E+01          4.4772544861E+01          4.5000053406E+01          0.0000000000E+00          3.3174339270E+04          3.3314680252E-01          4.4488737918E+02          4.4640389455E+02          2.1260790115E+00          2.1320802286E+00          2.1890300745E-01
2022-02-03                12:55:40.000              33.66365741               807.927778                34.66365741               1643892940.000            0                         963                       1.4000397262E+02          4.5000114441E+01          4.1937500000E+01          4.4772392273E+01          4.4999900818E+01          0.0000000000E+00          3.3175108501E+04          3.2681872865E-01          4.4483486405E+02          4.4635300810E+02          2.1261486614E+00          2.1320848628E+00          2.1868833107E-01
2022-02-03                12:55:45.000              33.66371528               807.929167                34.66371528               1643892945.000            0                         963                       1.4000238037E+02          4.5000205994E+01          4.1875000000E+01          4.4772636414E+01          4.4999839783E+01          0.0000000000E+00          3.3176093750E+04          3.3037994971E-01          4.4479739586E+02          4.4631935911E+02          2.1264697974E+00          2.1323035111E+00          2.1841295883E-01
2022-02-03                12:55:50.000              33.66377315               807.930556                34.66377315               1643892950.000            0                         963                       1.3999768066E+02          4.4999900818E+01          4.1937500000E+01          4.4772483826E+01          4.4999931335E+01          0.0000000000E+00          3.3174320312E+04          3.3612244206E-01          4.4474700868E+02          4.4626255245E+02          2.1265664387E+00          2.1327122993E+00          2.1862456336E-01
2022-02-03                12:55:55.000              33.66383102               807.931944                34.66383102               1643892955.000            0                         963                       1.4000206794E+02          4.4999900818E+01          4.1937500000E+01          4.4772483826E+01          4.4999931335E+01          0.0000000000E+00          3.3176736888E+04          3.3443235821E-01          4.4474105066E+02          4.4625513021E+02          2.1263779525E+00          2.1324312811E+00          2.1811492441E-01
2022-02-03                12:56:00.000              33.66388889               807.933333                34.66388889               1643892960.000            0                         963                       1.4000038115E+02          4.4999992371E+01          4.1937500000E+01          4.4772331238E+01          4.5000083923E+01          0.0000000000E+00          3.3175980332E+04          3.2323332929E-01          4.4472425642E+02          4.4624127296E+02          2.1264817076E+00          2.1324061357E+00          2.1885564078E-01
2022-02-03                12:56:05.000              33.66394676               807.934722                34.66394676               1643892965.000            0                         963                       1.3999774170E+02          4.5000022888E+01          4.1937500000E+01          4.4772453308E+01          4.5000083923E+01          0.0000000000E+00          3.3174078125E+04          3.3363256563E-01          4.4473449268E+02          4.4626296932E+02          2.1264437415E+00          2.1323847687E+00          2.1904228611E-01
2022-02-03                12:56:10.000              33.66400463               807.936111                34.66400463               1643892970.000            0                         963                       1.3999719238E+02          4.5000144958E+01          4.1937500000E+01          4.4772453308E+01          4.5000083923E+01          0.0000000000E+00          3.3171800781E+04          3.2407522253E-01          4.4468519242E+02          4.4620129557E+02          2.1269481388E+00          2.1326767778E+00          2.1871340490E-01
2022-02-03                12:56:15.000              33.66406250               807.937500                34.66406250               1643892975.000            0                         963                       1.4000204468E+02          4.5000144958E+01          4.1937500000E+01          4.4772453308E+01          4.5000083923E+01          0.0000000000E+00          3.3172152344E+04          3.3714160999E-01          4.4469985985E+02          4.4621579891E+02          2.1273895467E+00          2.1332138193E+00          2.1846153195E-01
2022-02-03                12:56:20.000              33.66412037               807.938889                34.66412037               1643892980.000            0                         963                       1.3999505338E+02          4.4999955664E+01          4.1937500000E+01          4.4772588396E+01          4.5000074320E+01          0.0000000000E+00          3.3169579491E+04          3.3683538540E-01          4.4471737442E+02          4.4623522044E+02          2.1277643366E+00          2.1335892357E+00          2.1912929133E-01
2022-02-03                12:56:25.000              33.66417824               807.940278                34.66417824               1643892985.000            0                         963                       1.3999714522E+02          4.5000022888E+01          4.1934877622E+01          4.4772636414E+01          4.5000083923E+01          0.0000000000E+00          3.3169970089E+04          3.3024810864E-01          4.4474105358E+02          4.4625828806E+02          2.1280799151E+00          2.1339593006E+00          2.1884217616E-01
2022-02-03                12:56:30.000              33.66423611               807.941667                34.66423611               1643892990.000            0                         963                       1.3999990845E+02          4.4999992371E+01          4.1937500000E+01          4.4772758484E+01          4.5000450134E+01          0.0000000000E+00          3.3170828125E+04          3.3050233215E-01          4.4474603113E+02          4.4624962180E+02          2.1281497322E+00          2.1340875702E+00          2.1855993281E-01
2022-02-03                12:56:35.000              33.66429398               807.943056                34.66429398               1643892995.000            0                         963                       1.4000064087E+02          4.5000083923E+01          4.1937500000E+01          4.4772697449E+01          4.5000450134E+01          0.0000000000E+00          3.3170757812E+04          3.4090718884E-01          4.4477080254E+02          4.4628640527E+02          2.1283220268E+00          2.1343464811E+00          2.1886958665E-01
2022-02-03                12:56:40.000              33.66435185               807.944444                34.66435185               1643893000.000            0                         963                       1.3999920654E+02          4.5000083923E+01          4.1937500000E+01          4.4772697449E+01          4.5000450134E+01          0.0000000000E+00          3.3172156250E+04          3.3598080652E-01          4.4476914130E+02          4.4628432508E+02          2.1282302250E+00          2.1341260010E+00          2.1852104823E-01
2022-02-03                12:56:45.000              33.66440972               807.945833                34.66440972               1643893005.000            0                         963                       1.4000122070E+02          4.5000114441E+01          4.1937500000E+01          4.4772544861E+01          4.5000450134E+01          0.0000000000E+00          3.3172855469E+04          3.2980987926E-01          4.4477636597E+02          4.4629128617E+02          2.1280824895E+00          2.1341121196E+00          2.1846159460E-01
2022-02-03                12:56:50.000              33.66446759               807.947222                34.66446759               1643893010.000            0                         963                       1.3999900757E+02          4.5000126648E+01          4.1937500000E+01          4.4772782898E+01          4.5000431824E+01          0.0000000000E+00          3.3172213438E+04          3.3201667886E-01          4.4475856537E+02          4.4628058282E+02          2.1282230014E+00          2.1341630181E+00          2.1845257865E-01
2022-02-03                12:56:55.000              33.66452546               807.948611                34.66452546               1643893015.000            0                         963                       1.4000066911E+02          4.5000170466E+01          4.1937500000E+01          4.4772835006E+01          4.5000422350E+01          0.0000000000E+00          3.3171636136E+04          3.3117542859E-01          4.4477595980E+02          4.4628720387E+02          2.1281653396E+00          2.1342261117E+00          2.1864999052E-01
2022-02-03                12:57:00.000              33.66458333               807.950000                34.66458333               1643893020.000            0                         963                       1.3999901127E+02          4.5000144958E+01          4.1875000000E+01          4.4772758484E+01          4.5000358582E+01          0.0000000000E+00          3.3171023438E+04          3.3616193806E-01          4.4477281333E+02          4.4628852827E+02          2.1278986949E+00          2.1339758438E+00          2.1828437473E-01
2022-02-03                12:57:05.000              33.66464120               807.951389                34.66464120               1643893025.000            0                         963                       1.4000105574E+02          4.5000114441E+01          4.1937500000E+01          4.4772941589E+01          4.5000358582E+01          0.0000000000E+00          3.3173079901E+04          3.3357549908E-01          4.4478807155E+02          4.4629901439E+02          2.1279981903E+00          2.1339389408E+00          2.1777497600E-01
