DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2022-02-28                07:48:45.000              58.45052083               1402.812500               59.45052083               1646034525.000            0                         963                       1.3999795532E+02          4.4998832703E+01          4.0750000000E+01          4.4772483826E+01          4.4999473572E+01          8.0000000000E+00          2.2702619141E+04          2.2741623737E-01          3.9967372991E+02          4.0315520188E+02          2.0387411091E+00          2.0533305822E+00          5.5659517699E-01          
2022-02-28                07:48:50.000              58.45057870               1402.813889               59.45057870               1646034530.000            0                         963                       1.3999725342E+02          4.4998832703E+01          4.0750000000E+01          4.4772605896E+01          4.4999595642E+01          8.0000000000E+00          2.2700771484E+04          2.2612225896E-01          3.9967032937E+02          4.0315054698E+02          2.0386424307E+00          2.0531679170E+00          5.5663564220E-01          
2022-02-28                07:48:55.000              58.45063657               1402.815278               59.45063657               1646034535.000            0                         963                       1.4000032340E+02          4.4998657340E+01          4.0750000000E+01          4.4772505689E+01          4.4999595642E+01          8.0000000000E+00          2.2700270056E+04          2.2819113234E-01          3.9967329454E+02          4.0314946133E+02          2.0388053327E+00          2.0533236869E+00          5.5571695254E-01          
2022-02-28                07:49:00.000              58.45069444               1402.816667               59.45069444               1646034540.000            0                         963                       1.4000018311E+02          4.4998741150E+01          4.0687500000E+01          4.4772697449E+01          4.4999473572E+01          8.0000000000E+00          2.2699357422E+04          2.2114185553E-01          3.9966257323E+02          4.0314284842E+02          2.0388398545E+00          2.0532916060E+00          5.5621569715E-01          
2022-02-28                07:49:05.000              58.45075231               1402.818056               59.45075231               1646034545.000            0                         963                       1.3999869308E+02          4.4998741150E+01          4.0750000000E+01          4.4772697449E+01          4.4999473572E+01          8.0000000000E+00          2.2697607121E+04          2.2830497490E-01          3.9965822741E+02          4.0313836767E+02          2.0389082336E+00          2.0533889396E+00          5.5629956966E-01          
2022-02-28                07:49:10.000              58.45081019               1402.819444               59.45081019               1646034550.000            0                         963                       1.4000035682E+02          4.4998680115E+01          4.0696241259E+01          4.4772392273E+01          4.4999626160E+01          8.0000000000E+00          2.2697372091E+04          2.2579753922E-01          3.9966609511E+02          4.0314114371E+02          2.0388003853E+00          2.0533016482E+00          5.5601424356E-01          
2022-02-28                07:49:15.000              58.45086806               1402.820833               59.45086806               1646034555.000            0                         963                       1.3999642944E+02          4.4998710632E+01          4.0750000000E+01          4.4772636414E+01          4.4999687195E+01          8.0000000000E+00          2.2694707031E+04          2.1761509591E-01          3.9967219945E+02          4.0313711731E+02          2.0387012086E+00          2.0532124353E+00          5.5565787612E-01          
2022-02-28                07:49:20.000              58.45092593               1402.822222               59.45092593               1646034560.000            0                         963                       1.3999893188E+02          4.4998680115E+01          4.0750000000E+01          4.4772331238E+01          4.4999473572E+01          8.0000000000E+00          2.2694570312E+04          2.3158778583E-01          3.9966861324E+02          4.0314498685E+02          2.0387414145E+00          2.0533765535E+00          5.5571625275E-01          
2022-02-28                07:49:25.000              58.45098380               1402.823611               59.45098380               1646034565.000            0                         963                       1.3999809041E+02          4.4998680115E+01          4.0750000000E+01          4.4772331238E+01          4.4999473572E+01          8.0000000000E+00          2.2693629739E+04          2.2595020186E-01          3.9966351367E+02          4.0313923435E+02          2.0387616341E+00          2.0532553702E+00          5.5584825009E-01          
2022-02-28                07:49:30.000              58.45104167               1402.825000               59.45104167               1646034570.000            0                         963                       1.3999890137E+02          4.4998680115E+01          4.0750000000E+01          4.4772453308E+01          4.4999626160E+01          8.0000000000E+00          2.2692852628E+04          2.2625903583E-01          3.9967507177E+02          4.0314979933E+02          2.0387413711E+00          2.0532719391E+00          5.5547660773E-01          
2022-02-28                07:49:35.000              58.45109954               1402.826389               59.45109954               1646034575.000            0                         963                       1.3999892121E+02          4.4998954773E+01          4.0729020979E+01          4.4772636414E+01          4.4999534607E+01          8.0000000000E+00          2.2691526756E+04          2.2331416774E-01          3.9968660431E+02          4.0316257790E+02          2.0386670497E+00          2.0531852330E+00          5.5576459179E-01          
2022-02-28                07:49:40.000              58.45115741               1402.827778               59.45115741               1646034580.000            0                         963                       1.3999715435E+02          4.4999037216E+01          4.0750000000E+01          4.4772644840E+01          4.4999548272E+01          8.0000000000E+00          2.2689922137E+04          2.2533194390E-01          3.9967973622E+02          4.0315080162E+02          2.0387323163E+00          2.0532147935E+00          5.5573158229E-01          
2022-02-28                07:49:45.000              58.45121528               1402.829167               59.45121528               1646034585.000            0                         963                       1.4000084574E+02          4.4999015168E+01          4.0750000000E+01          4.4772597360E+01          4.4999600551E+01          8.0000000000E+00          2.2689520405E+04          2.1550051731E-01          3.9966697008E+02          4.0313953212E+02          2.0388299795E+00          2.0532761234E+00          5.5526765486E-01          
